SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
Cc1cccc(C2=CCN(C(=O)NCCCC#N)CC2)c1,4.794537184071822 5.261891554738487 10.216698334856808 0.0 26.186202068468653 19.634269217737724 41.468391364074314 0.0 6.069221312792274 11.60421904240734,5.316788604006331 30.565293460926277 0.0 18.254850067221383 30.389367852172022 30.34148838068032 0.0 5.573104530069267 0.0 4.794537184071822,10.216698334856808 0.0 4.794537184071822 5.261891554738487 0.0 35.90493987237732 30.901936467308907 26.055090840663734 6.069221312792274 0.0 0.0 0.0 0.0 6.031114512338072
C[C@H](CCC(C)(C)C)C(=O)N[C@@H](C)c1nncn1C,4.794537184071822 0.0 20.08125186839976 18.380568498235363 53.50217007345309 0.0 12.151724572764468 0.0 0.0 5.907179729351506,5.316788604006331 20.671642993744936 11.842209166749011 11.332896515558172 59.326574571453015 6.3273200747645415 0.0 0.0 0.0 0.0,9.883888251797686 4.794537184071822 0.0 0.0 10.197363616602075 27.694948798762496 25.180370914939424 12.965578028838582 6.041840829147961 6.3273200747645415 5.824404497999927 5.907179729351506 0.0 0.0
C=CCCCC(=O)N[C@@H]1CN(c2ccc(C#N)nc2)C[C@H]1C,4.794537184071822 5.261891554738487 10.30076712495354 5.917906046161393 32.22804289761662 17.98942254267563 36.67846149381714 0.0 6.069221312792274 11.594566004035068,10.216698334856808 30.022511891271826 4.794537184071822 17.249018913692154 31.880130063317115 30.984533498968673 0.0 0.0 0.0 5.687386274683562,10.216698334856808 4.794537184071822 4.9839785209472085 5.261891554738487 6.578935683598497 12.999757306524504 30.89228342893663 19.51033443475116 17.9260706754446 11.763149307640735 0.0 5.907179729351506 0.0 0.0
C[C@H](CNC(=O)c1cnn(C)c1C(F)(F)F)CC(F)(F)F,31.137027470120742 0.0 15.097273347452553 12.965578028838582 25.69715585750358 6.544756405912575 17.454223058158533 0.0 0.0 5.907179729351506,5.316788604006331 28.408719396153778 13.223970500120664 5.917906046161393 29.39647549323391 6.196843571613076 0.0 0.0 0.0 26.34249028604892,5.316788604006331 9.476340119217006 0.0 31.44117209434996 0.0 6.923737199690624 5.917906046161393 20.013250011515773 11.760295063310071 0.0 5.693927994848461 0.0 5.907179729351506 12.35259703488695
Cc1ccc(C(=O)NCCN(C(=O)[C@H]2CC23CCC3)C2CC2)s1,9.589074368143644 0.0 10.216698334856808 11.332896515558172 51.49050776639464 13.08951281182515 21.88702852432582 0.0 0.0 23.151145336637747,5.316788604006331 35.8456228305266 4.794537184071822 18.256633715248796 53.07376130903049 12.13273413692322 0.0 0.0 0.0 0.0,10.216698334856808 9.589074368143644 0.0 0.0 11.336785877934737 6.4208216229260096 56.575569920640675 29.926406880835803 4.877147193701299 0.0 0.0 5.907179729351506 5.907179729351506 0.0
Cc1nc(C(=O)N[C@@H](C)[C@H]2CCCN(CC3CC4(CCC4)C3)C2)co1,9.211688121125169 0.0 15.200676855804018 17.250802561719567 64.83506658901129 19.634269217737724 17.847814912513428 0.0 0.0 5.907179729351506,5.316788604006331 41.46717802803487 0.0 24.17453976141019 68.2486776611189 10.680313932692403 0.0 0.0 0.0 0.0,14.633849271910154 4.794537184071822 4.9839785209472085 0.0 0.0 6.4208216229260096 69.24422590487882 26.055090840663738 0.0 6.263162995639057 11.58465191687437 0.0 5.907179729351506 0.0
CCC[C@@H](C(=O)N1CC[C@@H](CCNC(C)=O)C1)C(C)C,9.589074368143644 0.0 10.216698334856808 17.75371813848418 53.37823529046652 19.634269217737724 0.0 0.0 0.0 11.814359458703011,5.316788604006331 36.348538407291215 9.589074368143644 17.75371813848418 53.37823529046652 0.0 0.0 0.0 0.0 0.0,10.216698334856808 9.589074368143644 0.0 0.0 0.0 27.19203322199788 31.098276961100815 32.475912463589744 0.0 0.0 0.0 11.814359458703011 0.0 0.0
Cc1ccc(OC[C@H](C)OCc2ccccc2S(C)(=O)=O)cc1,17.891522891929036 0.0 0.0 0.0 31.453806227160243 12.862651148024323 59.65783953108687 0.0 5.749511833283905 9.837253136417502,4.736862953800049 27.38441452010156 21.18099805473047 6.923737199690624 18.050640183084614 53.42642002321065 0.0 0.0 0.0 0.0,9.473725907600098 0.0 8.417796984328938 0.0 0.0 35.89528683400505 37.61002709646307 6.255769183511404 17.606331827778995 12.356393797796823 9.837253136417502 0.0 0.0 0.0
CCOC(=O)c1ccc(F)c(C)c1NC(=O)C[C@H]1CCCCO1,23.45321532341856 0.0 0.0 0.0 45.634727278833594 18.530552533032168 29.076857961363107 0.0 0.0 17.563871291986917,5.316788604006331 31.194215334077494 14.268263091671919 12.740958040736519 48.528463858860476 12.13273413692322 0.0 0.0 0.0 10.077801322358383,14.790514511606428 4.794537184071822 9.184952231746642 0.0 0.0 0.0 45.2426734050825 12.170333456209914 30.382507741567785 5.817220841045895 0.0 5.907179729351506 0.0 5.969305287951849
C[C@H](C(=O)N1CCOC[C@H]1C[C@H]1CCCO1)c1ccc(Cl)s1,14.268263091671919 0.0 4.899909730850478 0.0 44.24991533152631 26.36540229945133 21.34621034637015 0.0 0.0 28.84490549751876,0.0 49.31829897654957 14.268263091671919 0.0 36.98125530833134 12.13273413692322 4.336329015745631 0.0 0.0 0.0,14.373635638450576 4.794537184071822 0.0 0.0 11.336785877934737 11.600939890232516 38.31893620539187 18.028785564126792 35.61380620782913 0.0 0.0 5.907179729351506 0.0 0.0
